sg,sr,sg,dg,dr,dc,color,flits,stalls,stalls/flit,flits_vc_0,flits_vc_1,flits_vc_2,flits_vc_3,flits_vc_4,flits_vc_5,flits_vc_6,flits_vc_7,stalls_vc_0,stalls_vc_1,stalls_vc_2,stalls_vc_3,stalls_vc_4,stalls_vc_5,stalls_vc_6,stalls_vc_7,stalls/flit_0,stalls/flit_1,stalls/flit_2,stalls/flit_3,stalls/flit_4,stalls/flit_5,stalls/flit_6,stalls/flit_7
4,2,11,4,3,11,k,12726426585,9320896181,0.7324048206891063,151893197,864206071,1427296776,353199578,369790978,2818385478,5356247819,1385406688,5629,4801531084,4056685726,259346404,72894,18968287,143344574,40941583,3.705893424575164e-05,5.556002491910289,2.842215994748383,0.7342772193232915,0.0001971221699194619,0.006730196116913146,0.02676212506290684,0.029552032161115134
4,2,11,15,2,9,b,8361938155,8074857016,0.9656681102301217,1095539700,578257185,333797321,0,3839184750,1588609329,926549870,0,305375,8036590319,4880802,0,17844030,10289141,4947349,0,0.00027874389216566044,13.897951512699318,0.014622052643735867,0,0.004647869576998085,0.00647682272297672,0.005339538820506229,0
4,2,11,6,2,9,b,25625754649,10636144135,0.41505681610883044,3889718147,1123044632,795333853,0,13863204762,3445025893,2509427362,0,92666581,10442760456,8381605,0,65980404,18620696,7734393,0,0.023823469335810463,9.298615708088795,0.010538473835087716,0,0.004759390424705898,0.005405096094585435,0.0030821346404048653,0
4,2,11,6,2,9,b,25230556564,10738690580,0.42562242147770957,3834663749,1103108560,777645778,0,13690755210,3369412253,2454971014,0,91928179,10509507048,8412844,0,97209550,21693398,9939561,0,0.02397294391821785,9.527173869451254,0.010818349739693436,0,0.00710037894249955,0.006438332970590049,0.0040487488216021765,0
4,2,11,4,2,13,g,7927079650,546207900,0.06890405093885994,303494649,1468537731,698441166,176317723,22600068,2406148853,2228665388,622874072,87427,193880418,285030438,4813699,1792,1747854,47081402,13564870,0.000288067681878635,0.13202276925358752,0.4080951293755786,0.027301277024771923,7.929179682114231e-05,0.00072641141790574,0.02112537945512348,0.021777869090688365
4,2,11,4,3,11,k,13503314049,17840609831,1.321202318650154,190016866,996190808,1432819834,360993871,462748640,3256243658,5392677301,1411623071,85481,3537184128,12894412281,702505549,996078,45918224,520266997,139241093,0.00044986006663219044,3.5507094620772692,8.999325647944653,1.9460317901075943,0.002152524964741117,0.014101593376523667,0.09647656775300155,0.09863900347092018
4,2,11,4,3,11,k,13122797609,17595977935,1.3408709376826906,173839220,949058123,1411762249,350482832,423009733,3098877194,5337476287,1378291971,73270,3492052684,12685724849,700355372,917436,45466033,531561722,139826569,0.0004214814125374009,3.6794929618868033,8.985737405845592,1.9982587107148233,0.0021688295290359194,0.014671776309184068,0.09959046062549748,0.10144916457617527
4,2,11,15,2,9,b,10310457250,6313699565,0.612358832582328,1326744058,753543585,425204897,0,4571766583,2059949048,1173249079,0,31075,6288387612,4827191,0,1827200,12005355,6621132,0,2.3422000507651792e-05,8.345088110596814,0.01135262325071482,0,0.00039967044835455896,0.005827986382311724,0.005643415467790876,0
4,2,11,4,2,9,g,25432323595,9321445495,0.3665196166673736,2813164068,2154559430,619177216,148518740,8993669397,8292060899,1915576617,495597228,223820,8074098134,757635511,20589701,8974065,340861142,89110827,29952295,7.956165889717314e-05,3.7474473999540594,1.2236165857239811,0.13863369026696565,0.000997820200394898,0.041106926993397616,0.04651906178493512,0.060436768625348324
4,2,11,4,2,14,g,8821721091,2588450052,0.2934178064913841,712539700,854847795,595274977,84931903,1998814482,2582722086,1746669528,245920620,189274,1672531033,723165473,4419636,5899869,83341223,85253245,13650299,0.0002656329184184404,1.9565249425483984,1.2148427213328001,0.052037406956488425,0.002951684137337564,0.03226875375084395,0.04880902977543672,0.05550693146430746
